Customer ID,Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Customer Status
0030-FNXPP,Female,22,No,0,0,3,Yes,3.12,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,No,Credit Card,19.85,57.2,Joined
0031-PVLZI,Female,34,Yes,0,0,4,Yes,12.43,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,No,Credit Card,20.35,76.35,Churned
0032-PGELS,Female,37,Yes,1,1,1,No,0,PhoneServiceUserOnly,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,Churned
0036-IHMOT,Female,37,Yes,3,10,55,Yes,35.04,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,Stayed
0040-HALCW,Male,42,Yes,3,3,54,Yes,19.7,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,No,Credit Card,20.4,1090.6,Stayed
0042-JVWOJ,Male,64,No,0,0,26,Yes,37.7,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,Yes,Bank Withdrawal,19.6,471.85,Stayed
0042-RLHYP,Female,47,Yes,3,5,69,Yes,38.39,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,No,Bank Withdrawal,19.7,1396.9,Stayed
0048-LUMLS,Male,23,Yes,3,1,37,Yes,43.01,No,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,Stayed
0048-PIHNL,Female,48,Yes,0,5,49,Yes,49.58,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,No,Bank Withdrawal,20.45,900.9,Stayed
0052-DCKON,Male,28,Yes,0,9,66,Yes,43.77,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,Stayed
0052-YNYOT,Female,28,No,0,0,67,Yes,23.12,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,No,Bank Withdrawal,20.55,1343.4,Stayed
0056-EPFBG,Male,33,Yes,1,4,20,No,0,PhoneServiceUserOnly,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,Stayed
0057-QBUQH,Female,31,No,3,0,43,Yes,30.64,Yes,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,Yes,Bank Withdrawal,25.1,1070.15,Stayed
0058-EVZWM,Female,37,Yes,0,2,55,Yes,5.08,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,Stayed
0060-FUALY,Female,60,Yes,0,4,59,Yes,16.39,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,Stayed
0064-SUDOG,Female,48,Yes,3,3,12,Yes,19.28,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,No,Bank Withdrawal,20.3,224.5,Stayed
0064-YIJGF,Male,60,Yes,3,7,27,Yes,25.26,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929,Stayed
0067-DKWBL,Male,69,No,0,0,2,Yes,43.99,No,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,Churned
0068-FIGTF,Female,20,No,0,0,27,Yes,48.91,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,Stayed
0071-NDAFP,Male,31,Yes,3,1,25,Yes,23.69,Yes,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,No,Credit Card,25.5,630.6,Stayed
0074-HDKDG,Male,46,Yes,0,5,25,Yes,6.45,No,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611,Stayed
0076-LVEPS,Male,57,No,1,0,29,No,0,PhoneServiceUserOnly,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242.45,Stayed
0078-XZMHT,Male,19,Yes,0,5,72,Yes,32.36,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,Stayed
0080-EMYVY,Female,64,No,0,0,14,Yes,24.04,No,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,Stayed
0080-OROZO,Female,38,No,0,0,35,Yes,36.42,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532,Stayed
0082-LDZUE,Male,54,No,0,0,1,Yes,42.95,No,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,Joined
0082-OQIQY,Male,50,No,0,0,29,Yes,2.05,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,Stayed
0083-PIVIK,Male,25,No,0,0,64,Yes,5.49,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,Stayed
0089-IIQKO,Female,35,Yes,3,1,39,Yes,24.38,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,Stayed
0093-EXYQL,Female,72,No,0,0,40,Yes,44.14,No,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,Stayed
0093-XWZFY,Male,51,No,0,0,40,Yes,37.69,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,Churned
0094-OIFMO,Female,78,No,1,0,11,Yes,11.59,No,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,Churned
0096-BXERS,Female,30,Yes,0,10,6,Yes,42.66,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,Stayed
0096-FCPUF,Male,58,No,0,0,30,Yes,2.64,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,Stayed
0098-BOWSO,Male,26,No,0,0,27,Yes,20.66,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,Stayed
0100-DUVFC,Male,66,Yes,0,3,70,Yes,39.49,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,Stayed
0103-CSITQ,Female,20,Yes,0,10,57,Yes,8.01,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,Stayed
0104-PPXDV,Male,61,Yes,0,10,58,Yes,18.37,No,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,Stayed
0106-GHRQR,Male,24,No,0,0,16,Yes,25.71,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,Stayed
0106-UGRDO,Female,55,Yes,0,3,69,Yes,38.52,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,Stayed
0107-WESLM,Male,32,No,0,0,1,Yes,31.77,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,Churned
0107-YHINA,Male,59,No,0,0,1,Yes,40.71,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,Churned
0111-KLBQG,Male,71,Yes,1,9,32,Yes,31.86,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,Stayed
0112-QAWRZ,Male,49,Yes,2,8,16,Yes,48.71,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,Stayed
0112-QWPNC,Male,61,Yes,0,1,49,Yes,39.55,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,Churned
0114-IGABW,Female,40,Yes,0,2,71,No,0,PhoneServiceUserOnly,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,Stayed
0114-PEGZZ,Female,39,No,0,0,33,Yes,49.69,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,Stayed
0114-RSRRW,Female,21,Yes,0,9,10,Yes,49.6,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,Stayed
0115-TFERT,Male,24,Yes,0,1,21,Yes,36.26,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,Churned
0117-LFRMW,Male,52,Yes,1,1,37,No,0,PhoneServiceUserOnly,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,Churned
0118-JPNOY,Female,71,No,0,0,26,Yes,33.74,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,Stayed
0121-SNYRK,Male,45,No,0,0,50,No,0,PhoneServiceUserOnly,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,Stayed
0122-OAHPZ,Female,29,No,0,0,7,Yes,28.62,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,Churned
0123-CRBRT,Female,62,Yes,0,1,61,Yes,47.19,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,Stayed
0125-LZQXK,Male,42,No,0,0,15,Yes,45.92,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,Churned
0128-MKWSG,Female,51,No,2,0,26,No,0,PhoneServiceUserOnly,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147,Stayed
0129-KPTWJ,Male,39,Yes,0,9,72,Yes,33.22,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,Stayed
0129-QMPDR,Male,64,Yes,0,1,44,Yes,27.4,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,Yes,Bank Withdrawal,20.5,865.05,Stayed
0130-SXOUN,Male,55,No,0,0,66,Yes,48.78,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,Stayed
0133-BMFZO,Female,40,No,0,0,2,Yes,36.81,No,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,Churned
0134-XWXCE,Female,76,No,0,0,44,Yes,7.72,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,Stayed
0135-NMXAP,Female,57,No,0,0,12,Yes,14.38,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,Churned
0136-IFMYD,Male,71,Yes,0,1,69,Yes,18.41,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,Stayed
0137-OCGAB,Female,25,No,0,0,1,Yes,1.23,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,Churned
0137-UDEUO,Female,24,No,0,0,3,Yes,25.75,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,No,Credit Card,19.85,63.75,Churned
0139-IVFJG,Female,19,Yes,0,10,2,Yes,4.65,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35,190.5,Joined
0141-YEAYS,Female,77,No,0,0,27,Yes,2.97,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,Stayed
0142-GVYSN,Male,57,No,0,0,26,Yes,13.34,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,Stayed
0147-ESWWR,Female,73,Yes,0,9,39,Yes,20.15,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,Stayed
0148-DCDOS,Male,41,No,0,0,25,Yes,34.88,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,Churned
0151-ONTOV,Female,43,No,0,0,1,Yes,39.81,No,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,Churned
0156-FVPTA,Male,48,Yes,0,1,22,Yes,27.24,No,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,Churned
0164-APGRB,Female,56,No,0,0,72,Yes,48.37,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,Stayed
0164-XAIRP,Female,51,No,0,0,24,Yes,10.64,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,Yes,Bank Withdrawal,19.55,470.2,Stayed
0168-XZKBB,Female,34,Yes,0,8,19,Yes,7.84,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,Stayed
0174-QRVVY,Male,21,Yes,2,2,71,Yes,9.2,Yes,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,No,Credit Card,25.35,1847.55,Stayed
0177-PXBAT,Male,78,Yes,0,7,33,Yes,25.15,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,Stayed
0178-CIIKR,Female,60,No,0,0,3,Yes,2.69,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,No,Credit Card,19.95,58,Joined
0178-SZBHO,Male,54,Yes,1,7,47,Yes,1.09,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,Stayed
0181-RITDD,Male,42,Yes,3,2,62,Yes,1.76,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,Stayed
0186-CAERR,Male,22,No,0,0,71,Yes,2.88,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,Stayed
0187-QSXOE,Male,71,Yes,0,8,7,Yes,41.97,No,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89,605.45,Stayed
0187-WZNAB,Female,56,Yes,2,6,27,Yes,46.66,No,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,Stayed
0188-GWFLE,Male,33,No,0,0,2,Yes,1.81,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Month-to-Month,No,Credit Card,20.05,33.7,Joined
0191-EQUUH,Female,32,No,3,0,25,No,0,PhoneServiceUserOnly,Cable,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,Stayed
0191-ZHSKZ,Male,80,No,0,0,30,Yes,38.61,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,Stayed
0193-ESZXP,Female,73,Yes,0,1,58,Yes,16.94,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,Churned
0195-IESCP,Male,26,Yes,0,1,10,Yes,2.02,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.3,Churned
0196-JTUQI,Female,59,No,0,0,9,Yes,9.27,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.2,633.85,Stayed
0196-VULGZ,Female,78,Yes,0,1,6,Yes,28.71,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.9,Churned
0197-PNKNK,Female,47,Yes,1,7,69,Yes,38.92,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,84.45,5848.6,Stayed
0201-MIBOL,Female,68,No,0,0,66,Yes,10.45,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.4,6471.85,Stayed
0201-OAMXR,Female,30,No,0,0,70,Yes,10.21,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.6,Churned
0203-HHYIJ,Male,62,No,0,0,25,Yes,5.57,Yes,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,One Year,No,Bank Withdrawal,25.3,676.35,Churned
0206-OYVOC,Female,52,Yes,2,1,46,Yes,24.33,No,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,PhoneServiceUserOnly,Two Year,Yes,Credit Card,19.25,864.2,Stayed
0206-TBWLC,Female,63,Yes,0,7,54,Yes,11.4,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,114.65,6049.5,Stayed
0207-MDKNV,Female,54,No,0,0,15,Yes,22.39,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.1,1582.75,Churned
